,Where did you find out about Orange?,What Data Mining level are you?,Where do you work?,Excel,IBM SPSS Statistics,KNIME,MATLAB,Python,Python Pandas,R,Rapid Miner,SQL,Weka,None,"Would you enjoy getting monthly tips and video tutorials on how to get the most out of Orange? If so, type your email below. <br><br>*<em>You can unsubscribe at any time and we will always respect your privacy.</em>"
71,College,Beginner,Academia,0,1,1,1,0,1,1,1,0,1,1,0
72,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,0,1,1,1
73,Web,Intermediate,Academia,0,0,1,1,1,1,0,1,1,1,1,1
74,Web,Beginner,Academia,0,0,1,1,1,1,0,1,1,1,1,1
75,Friends,Beginner,Research,1,1,1,1,0,0,1,1,0,1,1,0
76,Web,Intermediate,Industry,0,1,1,1,1,1,1,1,0,1,1,0
77,Web,Beginner,,1,1,1,1,1,1,1,1,1,1,1,0
78,Anaconda,Beginner,Industry,1,1,1,1,1,1,1,1,1,1,1,1
79,Anaconda,Intermediate,Industry,1,1,1,0,1,1,1,1,1,1,1,1
80,Anaconda,Intermediate,Academia,1,1,1,1,1,0,1,1,1,1,1,1
81,Web,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,0
82,School,Beginner,Academia,0,1,1,1,0,0,1,1,1,1,1,0
83,Anaconda,Beginner,I'm a student,1,1,1,0,0,1,1,1,1,1,1,0
84,Web,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,0
85,School,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
86,Friends,Beginner,,0,0,1,1,1,1,1,1,0,1,1,0
87,College,Beginner,,1,1,1,1,1,1,1,1,1,1,0,0
88,Anaconda,Beginner,,0,1,1,1,0,1,0,1,1,1,1,0
89,Anaconda,Beginner,Research,1,1,1,0,0,1,1,1,1,1,1,1
90,College,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,0
91,College,Beginner,Industry,0,1,1,1,0,1,0,1,0,1,1,1
92,School,Intermediate,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
93,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
94,School,Beginner,I'm a student,0,0,1,0,0,1,1,1,0,1,1,1
95,Anaconda,Beginner,,0,1,1,0,0,1,1,1,1,1,1,1
96,Web,Beginner,I'm a student,0,1,1,0,0,1,1,1,1,1,1,1
97,Anaconda,Beginner,Research,0,1,1,1,0,0,0,1,0,1,1,1
98,Anaconda,Beginner,Academia,0,1,1,1,1,1,0,1,1,1,1,0
99,Anaconda,Intermediate,Industry,0,1,1,1,1,1,1,1,0,1,1,1
100,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
101,Friends,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
102,Anaconda,Intermediate,Industry,0,1,1,1,1,1,1,1,1,1,1,1
103,Conference,Intermediate,Research,0,1,0,1,0,0,0,0,1,1,1,1
104,Job,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
105,Anaconda,Beginner,I'm a student,1,1,1,0,0,1,1,1,1,1,1,1
106,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
107,School,Intermediate,I'm a student,1,1,1,0,1,1,1,1,0,1,1,1
108,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
109,Job,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
110,Anaconda,Beginner,Academia,1,1,1,1,1,1,1,1,0,1,1,1
111,School,Beginner,Research,0,1,1,1,1,1,1,1,1,0,1,0
112,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
113,Anaconda,Intermediate,I'm a student,0,1,1,0,0,0,0,1,0,0,1,1
114,Anaconda,Beginner,I'm a student,1,1,1,0,0,1,1,1,1,1,1,0
115,Job,Beginner,Research,1,1,1,1,0,1,1,1,1,1,1,1
116,College,Beginner,I'm a student,0,1,1,1,1,1,0,1,0,1,1,1
117,,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
118,Web,Intermediate,Industry,0,1,1,0,0,0,0,1,0,1,1,1
119,Anaconda,Intermediate,Academia,1,1,1,1,0,0,0,1,1,1,1,1
120,Friends,Beginner,Industry,0,1,1,1,0,1,1,1,1,1,1,1
121,Web,Intermediate,Research,0,1,0,0,0,0,1,1,1,0,1,1
122,Anaconda,Intermediate,Academia,0,1,0,1,0,1,0,1,1,0,1,0
123,Web,,Research,1,1,1,1,1,1,1,1,1,1,1,1
124,Job,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,1
125,Anaconda,Intermediate,Academia,0,0,1,1,0,1,0,1,0,0,1,0
126,College,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
127,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,1
128,School,Beginner,Industry,0,1,1,1,1,1,0,1,0,1,1,0
129,Anaconda,Intermediate,Industry,1,1,1,1,0,0,0,1,0,1,1,1
130,Anaconda,Beginner,Research,1,1,1,1,1,1,1,1,1,1,0,0
131,Web,Beginner,Research,0,0,1,1,0,1,0,1,1,0,1,1
132,Web,Beginner,Industry,0,0,1,1,1,1,0,1,0,1,1,0
133,College,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,0
134,Friends,Beginner,Academia,0,1,1,0,1,1,0,1,1,1,1,0
135,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
136,Web,Beginner,Industry,0,1,1,1,0,1,1,1,1,1,1,1
137,Web,Beginner,Academia,0,0,1,1,1,1,1,1,0,1,1,1
138,Anaconda,Intermediate,Industry,1,1,1,1,0,1,1,1,0,1,1,1
139,,Intermediate,Academia,1,1,1,1,0,0,0,1,1,1,1,0
140,Anaconda,Beginner,Academia,0,1,1,1,1,1,1,1,1,0,1,0
141,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
142,Job,Beginner,,0,1,1,1,1,1,1,1,0,0,1,0
143,Friends,Beginner,Academia,1,0,1,1,1,1,1,1,1,1,1,0
144,Anaconda,Beginner,Academia,1,1,1,0,0,1,1,1,0,0,1,0
145,School,Beginner,Research,0,1,1,0,1,1,1,1,0,0,1,0
146,Anaconda,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
147,Anaconda,Expert,Academia,1,1,1,0,1,1,1,1,1,1,1,1
148,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
149,Anaconda,Beginner,,1,1,1,1,0,0,1,1,1,1,1,1
150,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,1,1,1,0
151,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
152,Web,Intermediate,Industry,0,1,1,1,0,1,1,1,1,0,1,1
153,Web,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
154,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,0,1
155,Anaconda,Beginner,Academia,1,1,1,1,1,1,0,1,1,1,1,1
156,Web,Beginner,Research,1,1,1,1,1,1,1,1,0,1,1,1
157,Anaconda,Beginner,Academia,0,1,1,1,0,0,1,1,0,1,1,1
158,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
159,Anaconda,Intermediate,I'm a student,0,1,1,1,0,0,0,1,0,1,1,0
160,Friends,Intermediate,I'm a student,0,0,1,1,0,0,0,1,0,1,1,0
161,College,Intermediate,Research,1,1,1,0,0,0,1,1,1,0,1,0
162,Web,Intermediate,I'm a student,0,1,1,0,0,1,1,1,0,1,1,1
163,Web,Expert,Industry,0,1,1,1,0,1,1,1,0,1,1,0
164,School,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
165,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,0
166,Anaconda,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
167,School,Intermediate,Academia,0,0,1,1,0,1,1,1,0,1,1,1
168,School,Beginner,I'm a student,0,0,1,0,1,1,0,1,1,1,1,1
169,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
170,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,1,1,1,1,1,0
171,Web,Expert,Academia,0,0,1,1,0,0,0,0,1,0,1,0
172,Conference,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
173,Anaconda,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,0
174,College,Beginner,I'm a student,1,1,1,1,0,0,1,1,1,1,1,1
175,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
176,Anaconda,Intermediate,Academia,0,1,1,1,0,0,1,1,0,1,1,1
177,College,Beginner,I'm a student,1,1,1,0,1,1,1,1,1,1,1,1
178,Anaconda,Beginner,Academia,0,1,1,0,0,1,1,1,0,1,1,0
179,,Beginner,,1,1,1,1,1,1,1,1,0,1,1,1
180,Anaconda,Beginner,I'm a student,0,1,1,0,0,0,0,1,0,0,1,1
181,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
182,Anaconda,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
183,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
184,Job,Beginner,Academia,1,1,1,1,1,1,1,1,0,1,1,1
185,Friends,Intermediate,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
186,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
187,Conference,Expert,Industry,1,1,1,1,1,1,1,1,0,1,1,1
188,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
189,College,Beginner,I'm a student,1,1,1,0,1,1,0,1,1,1,1,1
190,School,Beginner,I'm a student,0,1,1,0,0,0,1,1,0,1,1,1
191,Web,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,0
192,Web,Beginner,,1,1,1,1,1,1,1,1,1,1,1,1
193,Anaconda,Beginner,I'm a student,1,1,1,1,0,0,0,1,1,1,1,0
194,College,Beginner,I'm a student,0,1,1,0,0,1,1,1,0,0,1,1
195,Anaconda,Beginner,Research,0,1,1,1,0,0,1,1,0,1,1,0
196,Job,Beginner,Industry,1,1,1,1,1,1,1,1,1,1,0,0
197,Web,Intermediate,Industry,0,0,0,1,0,1,0,1,0,1,1,1
198,Job,Intermediate,Industry,0,1,0,1,0,1,0,0,0,0,1,0
199,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
200,Anaconda,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,0
201,Anaconda,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,1
202,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,0,1,1,0
203,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
204,Anaconda,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
205,Job,Intermediate,Industry,0,1,1,1,1,1,0,1,1,1,1,0
206,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,0,1,1,0
207,Anaconda,Beginner,I'm a student,1,1,1,1,1,0,1,1,1,1,1,0
208,Web,Intermediate,Research,1,1,1,1,1,1,1,0,1,0,1,1
209,School,Beginner,I'm a student,0,1,1,1,0,0,0,1,1,1,1,1
210,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,0
211,Anaconda,Beginner,I'm a student,1,1,1,0,0,0,1,1,1,1,1,1
212,Job,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
213,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
214,Conference,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
215,Friends,Intermediate,I'm a student,1,1,1,1,1,0,1,1,1,1,1,0
216,Web,Beginner,Industry,1,1,1,1,1,1,1,1,0,1,1,0
217,Web,Intermediate,Industry,0,1,1,0,1,0,1,1,0,1,1,1
218,Job,Beginner,I'm a student,1,1,1,1,1,1,0,1,1,1,1,0
219,Anaconda,Beginner,Industry,0,1,1,1,0,0,1,1,0,0,1,0
220,Anaconda,Beginner,Industry,0,1,1,1,0,0,0,1,1,1,1,0
221,Web,Beginner,Industry,1,1,1,1,0,0,1,1,1,1,1,1
222,Anaconda,Intermediate,Academia,1,1,1,1,1,1,1,1,1,0,1,0
223,School,Intermediate,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
224,,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,0
225,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
226,Web,Beginner,,1,1,1,1,1,1,1,1,1,1,1,0
227,Anaconda,Beginner,Academia,0,1,1,1,1,1,0,1,0,1,1,0
228,College,Beginner,Industry,0,1,1,1,0,0,0,1,0,1,1,0
229,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
230,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,1
231,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,1
232,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
233,Job,Beginner,I'm a student,1,1,1,1,0,1,1,1,0,1,1,0
234,Anaconda,Beginner,Academia,0,1,1,0,0,0,0,1,0,1,1,1
235,Anaconda,Beginner,I'm a student,1,1,1,0,1,1,1,1,1,1,1,0
236,School,Beginner,I'm a student,1,1,1,1,0,1,1,1,0,1,1,1
237,Anaconda,Expert,I'm a student,1,0,1,1,0,1,1,0,1,1,1,1
238,Web,Intermediate,Industry,0,1,1,1,0,1,1,1,0,1,1,0
239,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
240,Anaconda,Intermediate,Academia,1,1,1,0,1,0,1,1,1,0,1,0
241,Anaconda,Intermediate,Academia,0,1,1,0,0,1,1,1,1,1,1,0
242,Anaconda,Beginner,,0,1,1,0,0,0,1,1,1,1,1,1
243,Anaconda,Intermediate,Industry,0,1,1,1,0,0,0,1,0,1,1,1
244,Anaconda,Intermediate,Industry,0,1,1,1,0,1,0,1,0,1,1,0
245,Web,Intermediate,Academia,1,1,1,1,0,1,1,0,1,1,1,1
246,Web,Intermediate,Research,0,1,1,1,1,1,1,1,1,1,1,1
247,Web,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
248,College,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
249,College,Beginner,I'm a student,1,1,1,1,0,1,1,1,0,1,1,1
250,,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
251,College,Beginner,I'm a student,0,1,1,0,1,1,1,1,0,0,1,1
252,College,Beginner,I'm a student,0,1,1,0,0,1,0,1,0,1,1,1
253,School,Beginner,Academia,0,0,1,0,0,1,0,1,1,1,1,1
254,School,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,1
255,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
256,Web,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
257,Friends,Beginner,Research,1,1,1,1,0,0,1,1,1,0,1,1
258,Anaconda,Beginner,Industry,0,1,1,0,0,1,1,1,1,1,1,1
259,Web,Intermediate,Academia,0,1,1,1,0,1,0,1,1,1,1,1
260,Anaconda,Expert,Industry,0,1,1,1,1,1,1,1,1,1,1,1
261,Anaconda,Beginner,Research,0,1,1,1,1,0,0,1,1,1,1,1
262,School,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
263,Anaconda,Intermediate,I'm a student,0,1,1,0,1,1,1,1,0,1,1,0
264,Anaconda,Intermediate,I'm a student,1,1,1,1,1,0,1,1,1,1,1,0
265,Job,Beginner,Industry,0,1,1,1,1,1,0,1,0,1,1,1
266,Anaconda,Intermediate,Academia,0,1,1,1,1,1,0,1,1,1,1,0
267,College,Beginner,I'm a student,1,1,1,1,1,0,1,1,1,1,1,1
268,Anaconda,Intermediate,Research,0,1,0,1,0,0,0,1,1,1,1,1
269,Anaconda,Beginner,I'm a student,0,0,1,0,0,1,0,1,0,1,1,0
270,Anaconda,Intermediate,Industry,0,1,1,1,0,0,0,0,0,1,1,1
271,College,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
272,Web,Beginner,Academia,1,0,1,1,1,1,1,1,1,1,1,1
273,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
274,Web,Expert,Industry,0,1,1,1,0,0,0,1,1,0,1,1
275,College,Beginner,I'm a student,0,1,1,0,1,1,1,1,0,1,1,1
276,School,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,1
277,Anaconda,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,0
278,Anaconda,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,1
279,Friends,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,1
280,Anaconda,Beginner,Industry,0,1,1,0,0,0,1,1,0,1,1,0
281,School,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,1
282,School,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
283,Web,Beginner,,0,1,1,1,1,1,1,1,0,1,1,0
284,Web,Beginner,Research,0,1,1,1,0,1,1,1,1,1,1,0
285,Friends,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,0,1,1
286,College,Beginner,Industry,0,1,1,0,1,1,0,0,0,1,1,1
287,College,Intermediate,Academia,0,1,1,0,0,0,1,1,1,1,1,1
288,Conference,Intermediate,I'm a student,0,0,1,1,1,1,1,1,0,1,1,1
289,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
290,Friends,Beginner,Academia,1,1,1,1,0,0,1,1,1,1,1,0
291,Web,Expert,Industry,0,1,0,1,1,1,1,1,0,1,1,1
292,Conference,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,1
293,Anaconda,Expert,Academia,0,0,1,0,1,1,0,1,1,1,1,1
294,College,Beginner,I'm a student,0,1,1,1,0,1,1,1,1,1,1,1
295,Friends,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
296,Web,Intermediate,Industry,0,1,1,1,0,0,1,1,0,1,1,1
297,Friends,Intermediate,Research,1,1,1,0,0,1,0,1,1,0,1,0
298,Web,Intermediate,Academia,1,1,1,1,0,1,1,1,1,1,1,1
299,Web,Intermediate,Industry,0,1,1,0,1,0,0,1,0,1,1,0
300,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
301,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,0
302,College,Beginner,I'm a student,0,1,1,0,1,1,1,1,1,1,1,1
303,Anaconda,Intermediate,Industry,1,1,1,0,0,0,1,1,1,1,1,1
304,Anaconda,Intermediate,Research,0,1,1,1,0,1,0,1,1,1,1,0
305,Job,Intermediate,Research,1,1,1,1,0,1,1,1,1,1,1,1
306,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,0
307,Anaconda,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
308,Web,Intermediate,Academia,1,1,1,1,0,0,1,0,0,1,1,1
309,Anaconda,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,1,1,1
310,Friends,Beginner,Academia,1,1,1,1,1,1,1,1,1,1,0,0
311,Web,Intermediate,Industry,1,1,1,1,1,0,1,1,0,1,1,0
312,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
313,College,,Academia,1,1,1,0,0,0,0,0,0,1,1,0
314,Anaconda,Beginner,I'm a student,1,1,1,1,1,0,1,1,1,1,1,1
315,Web,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
316,Anaconda,Beginner,I'm a student,1,1,1,0,0,1,1,1,1,1,1,0
317,,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,0
318,Conference,Intermediate,Industry,0,1,0,1,0,0,1,0,0,1,1,0
319,Web,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
320,Friends,Intermediate,Academia,1,1,1,0,0,0,0,0,1,0,1,1
321,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
322,Anaconda,Intermediate,Industry,0,0,1,1,0,0,0,1,1,1,1,1
323,Friends,Beginner,Industry,0,1,1,1,0,1,1,1,0,0,1,1
324,Friends,Beginner,Research,1,1,1,1,0,1,1,1,1,1,1,1
325,Anaconda,Beginner,I'm a student,0,1,1,1,0,0,1,1,0,1,1,0
326,Anaconda,Beginner,Research,0,1,1,1,1,1,0,1,1,1,1,0
327,Anaconda,Beginner,Academia,1,1,1,0,1,1,1,1,1,1,1,1
328,Anaconda,Intermediate,,0,1,0,1,0,0,0,1,0,1,1,0
329,School,Beginner,I'm a student,0,1,1,1,0,1,1,1,1,1,1,1
330,Anaconda,Intermediate,Research,0,1,1,0,0,0,1,1,1,1,1,0
331,Anaconda,Expert,Industry,0,1,1,1,0,0,0,0,0,1,1,0
332,College,Intermediate,Industry,0,1,1,0,0,0,1,1,0,1,1,0
333,,Beginner,Industry,0,1,0,1,1,1,1,0,0,1,1,1
334,Anaconda,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
335,School,Beginner,Industry,0,1,1,1,1,1,1,1,0,1,1,0
336,Web,Intermediate,Research,0,0,1,1,0,0,0,0,0,1,1,1
337,Anaconda,Intermediate,Industry,0,1,1,1,0,1,1,1,1,1,1,0
338,Anaconda,Intermediate,Industry,0,0,1,1,0,0,1,1,0,1,1,1
339,Anaconda,Beginner,I'm a student,1,1,1,0,0,0,1,1,1,1,1,1
340,Web,Expert,Industry,0,1,1,1,0,0,0,0,0,1,1,1
341,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
342,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
343,Web,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,0
344,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,1
